token,dimension
acumen,intellectual
admired,affect
admiring,affect
admirable,affect
aesthetic,sensory
aesthetics,sensory
aesthetically,sensory
alluring,affect
amaze,affect
amazed,affect
amazing,affect
ambience,sensory
ambiance,sensory
amuse,behavioral
amused,behavioral
amusement,behavioral
amusing,behavioral
antique,sensory
appeal,sensory
appealing,sensory
appetizing,sensory
architecture,sensory
aroma,sensory
aromatic,sensory
artifact,sensory
artifacts,sensory
artistic,sensory
association,social
astonish,affect
astonished,affect
astonishing,affect
atmosphere,sensory
attracting,sensory
attracted,sensory
attractive,sensory
authentic,behavioral
awe,affect
awe-inspiring,sensory
awed,affect
awestruck,affect
backdrop,sensory
beautiful,sensory
bliss,affect
blissful,affect
bond,social
bonded,social
bonding,social
breathtaking,sensory
captivated,sensory
captivating,sensory
care,social
cared,social
caring,social
celebrate,affect
celebrate,social
celebrated,affect
celebrated,social
celebrating,affect
celebrating,social
chat,social
chatted,social
chatting,social
cheerful,affect
companionship,social
contemporary,sensory
contentment,affect
conversation,social
conversation,behavioral
conversing,social
conversing,behavioral
cordial,social
cordially,social
cozy,affect
curiosity,intellectual
curious,intellectual
dance,behavioral
danced,behavioral
dancing,behavioral
dazzle,sensory
dazzled,sensory
dazzling,sensory
decor,sensory
décor,sensory
decorated,sensory
decoration,sensory
delicious,sensory
delight,affect
delighted,affect
delightful,affect
describe,intellectual
described,intellectual
describing,intellectual
design,sensory
designed,sensory
designing,sensory
disco,behavioral
discuss,social
discussed,social
discussing,social
discussion,social
enchanting,sensory
energetic,affect
energize,affect
energized,affect
energizing,affect
engage,behavioral
engaged,behavioral
engaging,behavioral
enjoy,affect
enjoyed,affect
enjoying,affect
enormous,intellectual
entertain,behavioral
entertained,behavioral
entertaining,behavioral
entertainment,behavioral
enthusiastic,behavioral
enticing,sensory
esthetic,sensory
exceptional,intellectual
exceptionally,intellectual
excite,affect
excited,affect
exciting,affect
exotic,intellectual
experience,behavioral
experienced,behavioral
expert,intellectual
expertise,intellectual
explain,intellectual
explained,intellectual
explaining,intellectual
exquisite,intellectual
extensive,intellectual
extraordinary,intellectual
family,social
fantastic,sensory
fascinate,sensory
fascinated,sensory
fascinating,sensory
flavor,sensory
flavored,sensory
flavorful,sensory
flavour,sensory
flavourful,sensory
flavoured,sensory
fondness,affect
fresh,sensory
friendly,social
fun,affect
funny,affect
generously,social
generous,social
genuine,behavioral
genuinely,behavioral
glad,affect
gladful,affect
gladfully,affect
gossip,social
gossiped,social
gossiping,social
grateful,affect
greatful,affect
happiness,affect
happy,affect
heartwarming,affect
heavenly,affect
homely,social
honest,behavioral
hospitable,social
hospitableness,social
hospitality,social
hosted,social
hosting,social
ideal,intellectual
ideally,intellectual
immense,intellectual
immensely,intellectual
impress,affect
impressed,affect
impressing,affect
impression,affect
impressive,affect
incredible,affect
incredibly,affect
insight,intellectual
insightful,intellectual
intense,affect
interested,behavioral
interesting,intellectual
interesting,behavioral
intrigue,intellectual
intrigued,intellectual
intriguing,intellectual
joy,affect
joyful,affect
joyous,affect
judge,intellectual
judging,intellectual
judgment,intellectual
jukebox,behavioral
karaoke,behavioral
knowledge,intellectual
knowledgeable,intellectual
knowledgeful,intellectual
love,affect
loved,affect
loving,affect
luscious,sensory
magnificent,sensory
marvel,intellectual
marvelous,affect
melodious,behavioral
melody,behavioral
memorable,sensory
memorable,affect
memorable,behavioral
memorable,intellectual
memorable,social
mingle,behavioral
mingle,social
mingled,behavioral
mingled,social
mingling,behavioral
mingling,social
modern,sensory
music,behavioral
observe,behavioral
observed,behavioral
observing,behavioral
outstanding,intellectual
perfect,intellectual
perfectly,intellectual
pleasant,sensory
pleasing,sensory
pleasure,sensory
presentation,sensory
pristine,sensory
pro,intellectual
professional,intellectual
rare,intellectual
recognize,social
recognized,social
recognise,social
recognised,social
recommend,behavioral
refreshed,affect
rejoice,affect
rejoiced,affect
relation,social
relationship,social
relaxing,affect
relaxed,affect
relic,sensory
relics,sensory
remarkable,intellectual
satisfaction,affect
satisfied,affect
satisfying,affect
savor,affect
savored,affect
savour,affect
savoured,affect
scene,sensory
scenery,sensory
scenic,sensory
skilled,intellectual
skillful,intellectual
smell,sensory
smelled,sensory
smelling,sensory
socialize,social
socialize,behavioral
socialized,social
socialized,behavioral
socializing,social
socializing,behavioral
socialise,social
socialised,social
socialising,social
socialise,behavioral
socialised,behavioral
socialising,behavioral
sophisticated,intellectual
specialise,intellectual
specialised,intellectual
specialized,intellectual
spectacular,sensory
splurge,behavioral
splurged,behavioral
splurged,affect
stunning,sensory
stylish,sensory
surprise,affect
surprised,affect
surprising,affect
surrounding,sensory
sympathetic,social
talk,social
talked,social
talking,social
tantalizing,sensory
taste,sensory
tasted,sensory
tasting,sensory
tasty,sensory
tempting,sensory
terrific,sensory
thank,affect
thankful,affect
think,intellectual
thinking,intellectual
treat,social
treated,social
treating,social
trendy,sensory
unique,sensory
upbeat,affect
vibe,sensory
vibrant,sensory
wonderful,sensory
wonderful,affect
yummy,sensory
zealous,behavioral
