x,y
a bit,3
a little,3
a tad,3
absence,1
absent,1
absolutely,2
acutely,2
admittedly,4
aint,1
albeit,4
almost,2
although,4
altogether,2
amazingly,2
apart from,4
arent,1
astoundingly,2
at best,3
at least,3
avoid,1
avoided,1
avoids,1
awesomely,2
awfully,2
barely,1
breathtakingly,2
brilliantly,2
but,4
cannot,1
cant,1
clearly,2
comparatively,3
completely,2
considerably,2
conversely,4
couldnt,1
darent,1
decisively,2
deeply,2
definitely,2
denied,1
denies,1
deny,1
despite,4
didnt,1
distinctly,2
doesnt,1
dont,1
dreadfully,2
emphatically,2
enormously,2
enough,3
entirely,2
especially,2
even if,4
even though,4
exactly,2
except,4
except that,4
exceptionally,2
extensively,2
extraordinarily,2
extremely,2
fail,1
failed,1
fails,1
fairly,2
fantastically,2
far,2
few,1
free,1
freed,1
frightfully,2
fully,2
genuinely,2
granted,4
greatly,2
hadnt,1
hardly,1
hasnt,1
havent,1
highly,2
horribly,2
however,4
hugely,2
immensely,2
in spite of,4
incredibly,2
indeed,2
insanely,2
intensely,2
isnt,1
just,3
kind,3
kind of,3
kinda,3
kindly,3
lack,1
lacking,1
lacks,1
largely,2
least,1
less,3
lightly,3
little,1
magnificently,2
mainly,2
marginally,3
markedly,2
merely,3
mightnt,1
mildly,3
minimally,2
miss,1
missed,1
misses,1
moderately,3
mostly,2
much,2
mustnt,1
nearly,2
neednt,1
neither,1
never,1
nevertheless,4
no,1
nobody,1
nominally,3
none,1
nonetheless,4
nor,1
not,1
notably,2
nothing,1
notwithstanding,4
nowhere,1
obviously,2
on the other hand,4
only,3
oughtnt,1
outstandingly,2
overtly,2
overwhelmingly,2
partially,3
particularly,2
partly,3
passably,3
perhaps,3
phenomenally,2
plainly,2
positively,2
possibly,3
powerfully,2
precisely,2
predominantly,2
pretty,2
prevent,1
prevented,1
prevents,1
principally,2
probably,3
profoundly,2
purely,2
quasi,3
quite,2
rarely,1
rather,2
really,2
reasonably,3
refuse,1
refused,1
refuses,1
regardless,4
regrettably,4
reject,1
rejected,1
rejects,1
relatively,3
remarkably,2
remove,1
removed,1
removes,1
roughly,3
sadly,4
save that,4
scarcely,1
seldom,1
semi,3
shant,1
shortly,3
shouldnt,1
significantly,2
simple,3
simply,3
slightly,3
so,2
somewhat,3
sort,3
sort of,3
specifically,2
spectacularly,2
splendidly,2
staggeringly,2
still,4
stop,1
stopped,1
stops,1
strikingly,2
strongly,2
substantially,2
sufficiently,3
super,2
superbly,2
supposedly,3
supremely,2
surely,2
terribly,2
thoroughly,2
though,4
totally,2
truly,2
uber,2
unambiguously,2
unbelievably,2
undeniably,2
undoubtedly,2
unequivocally,2
unfortunately,4
unusually,2
utterly,2
vaguely,3
vastly,2
veritably,3
very,2
virtually,2
wasnt,1
well,2
werent,1
whereas,4
while,4
whilst,4
wholly,2
wildly,2
without,1
wonderfully,2
wont,1
wouldnt,1
yet,4
